lat,lon,tipo,nome
-15.8027131,-47.8933387,pharmacy,Vitale
-15.8103402,-47.9100841,cafe,Fran's Café
-15.7973083,-47.8973490,school,Colégio Seriös
-15.8014039,-47.8699871,doctors,SIASS-DF
-15.8005056,-47.8800541,fast_food,Waldir
-15.8008602,-47.8788883,fast_food,Dona Lídia
-15.7865444,-47.8900900,restaurant,Mangai
-15.7872476,-47.8863101,restaurant,Sublime Tempero
-15.8086795,-47.8860752,restaurant,Nippon Restaurante
-15.8093192,-47.8853000,pharmacy,Drogasil
-15.7963613,-47.8906442,bank,Caixa Econômica Federal
-15.7974471,-47.8910080,bank,Banco Safra
-15.8021713,-47.8944377,dojo,Gracie Barra
-15.8049163,-47.8973696,bank,Caixa Econômica Federal
-15.7964574,-47.8906733,bank,Sicoob
-15.8054481,-47.8978402,bank,Itaú
-15.7962776,-47.8906072,driving_school,Autoescola Líder
-15.8078377,-47.9002490,fast_food,Bônus Fast Food
-15.8010278,-47.8821065,restaurant,Donburi
-15.7869401,-47.8886507,fast_food,Açaí Artesanal
-15.7902403,-47.8846678,cafe,Melbourne Café & Co.
-15.8096261,-47.8844975,atm,Banco24Horas
-15.7989310,-47.8971883,university,Universidade Corporativa Banco do Brasil
-15.7843560,-47.8848819,pharmacy,Guiafarma
-15.7801077,-47.8751995,restaurant,Reiko Sushi
-15.7801350,-47.8754221,pharmacy,Drogarias Pacheco
-15.7798627,-47.8761607,pharmacy,Colorado
-15.7770664,-47.8778919,marketplace,Mais vida
-15.7797723,-47.8759484,restaurant,Nutri Vida
-15.7879510,-47.8833838,restaurant,Caparriz
-15.7797746,-47.8761658,bar,Tiborna
-15.7884221,-47.8843495,bank,Caixa Econômica Federal
-15.7869960,-47.8894185,bank,Itaú
-15.7802082,-47.8766556,restaurant,Chaminé
-15.7775553,-47.8826493,cafe,Quanto
-15.7872059,-47.8876797,fast_food,DNL Lanches
-15.7977256,-47.8937606,restaurant,Sabor do Milênio
-15.7730107,-47.8762701,bar,Barito
-15.7743679,-47.8861096,coworking_space,Copa
-15.7727279,-47.8851262,car_wash,Restaura Car
-15.7742631,-47.8860930,coworking_space,Copa
-15.7743386,-47.8857745,marketplace,Casa do Holandês
-15.8090597,-47.8852308,fast_food,Molho de Tomate
-15.8094576,-47.8851452,cafe,Café Grão Nativo
-15.7730598,-47.8711877,restaurant,Restaurante da FINATEC
-15.7803584,-47.8762734,language_school,Professor Prime
-15.7953109,-47.8841452,restaurant,Ric Filet
-15.7844389,-47.8886042,restaurant,Quinzinhos
-15.7839762,-47.8885522,restaurant,Abrantes
-15.7766022,-47.8781783,fast_food,Tuira Açaí
-15.7956258,-47.8843436,theatre,Dulcina de Moraes
-15.7840757,-47.8879309,atm,Banco24Horas
-15.7989668,-47.8869161,fast_food,Sabor do Café
-15.7982207,-47.8867356,fast_food,Cafeteria Metrô
-15.7981779,-47.8870121,restaurant,Melhor Fatia
